TrainAccuracy=0.87274,TrainLoss=0.49382,ValidationAccuracy=0.71817,ValidationLoss=1.44035,lr=1.0000000000000003e-05(timeelapsed00:11:36)
TrainAccuracy=0.87108,TrainLoss=0.50036,ValidationAccuracy=0.72119,ValidationLoss=1.43723,lr=1.0000000000000003e-05(timeelapsed00:11:43)
TrainAccuracy=0.87200,TrainLoss=0.49781,ValidationAccuracy=0.71754,ValidationLoss=1.44700,lr=1.0000000000000003e-05(timeelapsed00:11:27)
TrainAccuracy=0.87313,TrainLoss=0.48330,ValidationAccuracy=0.71531,ValidationLoss=1.47386,lr=1.0000000000000003e-05(timeelapsed00:10:39)
TrainAccuracy=0.86999,TrainLoss=0.49895,ValidationAccuracy=0.72004,ValidationLoss=1.44499,lr=1.0000000000000003e-05(timeelapsed00:11:41)
TrainAccuracy=0.87122,TrainLoss=0.49539,ValidationAccuracy=0.71647,ValidationLoss=1.46424,lr=1.0000000000000003e-05(timeelapsed00:11:12)
TrainAccuracy=0.86914,TrainLoss=0.50325,ValidationAccuracy=0.71834,ValidationLoss=1.44500,lr=1.0000000000000004e-06(timeelapsed00:11:21)
TrainAccuracy=0.87277,TrainLoss=0.48991,ValidationAccuracy=0.71417,ValidationLoss=1.43993,lr=1.0000000000000004e-06(timeelapsed00:11:32)
TrainAccuracy=0.87212,TrainLoss=0.49448,ValidationAccuracy=0.71815,ValidationLoss=1.43459,lr=1.0000000000000004e-06(timeelapsed00:11:29)
TrainAccuracy=0.87415,TrainLoss=0.49063,ValidationAccuracy=0.72023,ValidationLoss=1.44093,lr=1.0000000000000004e-06(timeelapsed00:11:19)
TrainAccuracy=0.87279,TrainLoss=0.49170,ValidationAccuracy=0.71856,ValidationLoss=1.40349,lr=1.0000000000000004e-06(timeelapsed00:11:36)
TrainAccuracy=0.86457,TrainLoss=0.52028,ValidationAccuracy=0.71594,ValidationLoss=1.45637,lr=1.0000000000000004e-06(timeelapsed00:12:09)
TrainAccuracy=0.86916,TrainLoss=0.50856,ValidationAccuracy=0.72130,ValidationLoss=1.43286,lr=1.0000000000000004e-06(timeelapsed00:11:53)
TrainAccuracy=0.87166,TrainLoss=0.49384,ValidationAccuracy=0.72132,ValidationLoss=1.43303,lr=1.0000000000000004e-06(timeelapsed00:11:38)
TrainAccuracy=0.87113,TrainLoss=0.49282,ValidationAccuracy=0.71811,ValidationLoss=1.43477,lr=1.0000000000000004e-06(timeelapsed00:11:32)
TrainAccuracy=0.87194,TrainLoss=0.49150,ValidationAccuracy=0.71762,ValidationLoss=1.43217,lr=1.0000000000000004e-06(timeelapsed00:11:56)
TrainAccuracy=0.86819,TrainLoss=0.50697,ValidationAccuracy=0.71698,ValidationLoss=1.45107,lr=1.0000000000000004e-06(timeelapsed00:11:43)
TrainAccuracy=0.87060,TrainLoss=0.49429,ValidationAccuracy=0.72098,ValidationLoss=1.41201,lr=1.0000000000000004e-06(timeelapsed00:12:22)
TrainAccuracy=0.86867,TrainLoss=0.50750,ValidationAccuracy=0.71962,ValidationLoss=1.46623,lr=1.0000000000000004e-06(timeelapsed00:11:30)
TrainAccuracy=0.87014,TrainLoss=0.50426,ValidationAccuracy=0.71542,ValidationLoss=1.45318,lr=1.0000000000000004e-06(timeelapsed00:11:27)
TrainAccuracy=0.86896,TrainLoss=0.50609,ValidationAccuracy=0.71871,ValidationLoss=1.44957,lr=1.0000000000000004e-06(timeelapsed00:12:03)
TrainAccuracy=0.86976,TrainLoss=0.49922,ValidationAccuracy=0.71968,ValidationLoss=1.46254,lr=1.0000000000000004e-06(timeelapsed00:11:46)
TrainAccuracy=0.87300,TrainLoss=0.49432,ValidationAccuracy=0.71415,ValidationLoss=1.48020,lr=1.0000000000000004e-06(timeelapsed00:11:25)
